,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Quartile rank,Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
67,79,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,2,100.9297,101.5834,101.7259,104.2393,96.5471,110.7385,5360.703,11019.149,6689.185
68,80,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,2,103.5985,102.62,88.3809,84.0627,45.4564,38.6409,3084.63,2744.639,1248.927
69,81,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,2,101.4133,101.79299999999999,102.131,103.7196,96.4096,77.4831,423.001,644.3340000000001,418.745
70,82,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,2,93.9713,94.3637,97.0754,103.1987,125.3685,127.3533,646.577,662.446,709.488
71,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2,103.2963,105.6379,94.8276,88.3893,76.4488,53.5014,290.55,275.983,157.138
72,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2,93.6636,94.1,81.186,82.5573,45.8584,36.6641,108.82700000000001,168.967,63.543
73,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,2,82.1776,87.1283,39.8039,44.08,8.2959,11.9894,25591.181,10314.796,1513.371
74,86,Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,2,107.4409,108.257,98.4587,98.4204,48.5,39.0051,501.01099999999997,660.063,231.19099999999997
75,87,Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,2,87.5343,89.2483,83.999,87.5994,6.1958,9.7038,359.064,650.998,44.411
76,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2,108.7837,114.4966,101.5495,97.8325,57.3124,38.4862,4283.207,4572.513,1545.523
77,89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,2,109.3566,115.0888,75.1451,83.9801,33.2701,34.2279,4210.6759999999995,2847.1220000000003,1009.785
79,91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,2,89.5155,97.2685,62.985,63.5683,45.8456,39.618,502.505,401.031,221.15900000000002
80,92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,2,101.1903,105.6124,89.0813,86.5397,38.4955,34.1565,29351.817000000003,24318.262000000002,7983.633000000001
81,93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,2,102.6343,101.5544,95.94,94.2265,56.1658,46.4335,100321.02699999999,83407.925,44127.509000000005
82,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,2,92.5998,92.5529,90.2854,82.0272,8.9082,12.0536,94.184,75.444,8.543
83,96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,2,107.2133,119.0378,57.0893,66.3765,16.8965,21.4205,4371.380999999999,2206.8779999999997,417.16900000000004
84,97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,2,94.3216,95.3457,98.2892,101.4179,79.2831,63.6621,261.969,487.087,266.707
85,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2,103.2884,101.6902,71.7205,72.7263,13.5339,18.6816,4401.194,2677.145,443.978
86,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,2,138.3528,130.0698,75.04,67.5822,12.4489,11.1422,4135.253,3336.65,371.184
87,101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,2,100.0151,99.0166,65.9132,63.8864,33.872,29.5786,1106.611,763.694,283.904
